Class,730nm,760nm,810nm,860nm,900nm,940nm,Brix (%),Sample No.
Not Sweet,223.09518432617188,153.2470703125,308.1921691894531,1929.09423828125,88.59254455566406,43.44676208496094,6.4,1
Not Sweet,225.5289459228516,155.78707885742188,315.2974853515625,1996.374755859375,90.66893005371094,43.44676208496094,6.4,1
Not Sweet,213.3601226806641,154.94041442871094,306.4158630371094,2071.775390625,86.51615905761719,43.44676208496094,6.4,1
Not Sweet,197.9462738037109,147.3203887939453,278.8828430175781,2032.3349609375,81.67124938964844,38.50962829589844,6.4,1
Not Sweet,247.432846069336,177.80047607421875,350.8239440917969,2400.0576171875,90.66893005371094,40.48448181152344,6.4,1
Not Sweet,272.5817565917969,194.7338409423828,395.2320556640625,2572.89892578125,100.3587417602539,44.43418884277344,6.4,1
Not Sweet,271.7705078125,187.11383056640625,360.5937194824219,2417.457763671875,88.59254455566406,38.50962829589844,6.4,1
Not Sweet,274.2042541503906,199.81385803222656,415.6597595214844,2612.33935546875,99.66661071777344,45.42161560058594,6.4,1
Not Sweet,276.6380310058594,193.0405120849609,396.1202087402344,2581.01904296875,104.5115203857422,45.42161560058594,6.4,1
Not Sweet,319.6345520019531,214.2072296142578,436.0874938964844,2536.938720703125,114.20132446289062,47.39646911621094,6.4,1
Not Sweet,255.5453948974609,181.1871490478516,378.3569641113281,2359.457275390625,110.74068450927734,53.32102584838867,6.4,1
Not Sweet,288.8068542480469,198.1205291748047,414.7716064453125,2574.05908203125,104.5115203857422,42.45933532714844,6.4,1
Not Sweet,273.3930053710937,190.50050354003903,394.3438720703125,2430.218017578125,110.04855346679688,53.32102584838867,6.4,1
Not Sweet,267.7142333984375,190.50050354003903,388.1267395019531,2447.617919921875,100.3587417602539,47.39646911621094,6.4,1
Not Sweet,275.0155334472656,191.34716796875,384.5740966796875,2409.337646484375,107.28003692626952,49.37131881713867,6.4,1
Not Sweet,270.1479797363281,187.11383056640625,382.79779052734375,2455.738037109375,103.81938934326172,47.39646911621094,6.4,1
Not Sweet,265.28045654296875,182.88047790527344,384.5740966796875,2379.177490234375,108.66429138183594,49.37131881713867,6.4,1
Not Sweet,279.883056640625,193.0405120849609,389.903076171875,2346.697265625,115.58558654785156,50.35874557495117,6.4,1
Not Sweet,275.8267822265625,191.34716796875,400.5610046386719,2423.2578125,112.12493896484376,50.35874557495117,6.4,1
Not Sweet,238.509033203125,170.18045043945312,361.4819030761719,2419.77783203125,103.81938934326172,48.38389205932617,6.4,1
Not Sweet,263.657958984375,184.5738220214844,369.475341796875,2264.336669921875,107.28003692626952,50.35874557495117,6.4,1
